lwage,yob,draftelig,veteran
5.7863998,50,0,0
5.8354998,50,0,0
6.1529999,50,0,1
5.3544002,50,0,0
5.3323002,50,0,1
5.6487999,50,0,1
6.4025998,50,0,0
5.0250001,50,0,1
4.7617002,50,0,0
5.0359998,50,1,1
6.0181999,50,0,0
5.7153001,50,0,0
5.7153001,50,0,0
5.5956001,50,1,0
5.7424998,50,0,0
5.7094002,50,1,1
5.0015001,50,0,0
5.3667998,50,0,0
5.5051999,50,0,0
5.3541999,50,1,1
6.1336002,50,0,0
6.0419002,50,1,0
2.4905,50,0,0
4.9754,50,0,0
5.6325002,50,0,0
5.5634999,50,0,1
5.5285001,50,1,1
6.0876999,50,0,1
5.6876001,50,0,0
6.3859,50,0,0
4.7452998,50,0,1
5.3808999,50,0,0
5.6475,50,1,1
5.5816002,50,0,1
6.2217002,50,0,0
4.8884001,50,0,0
5.7627001,50,0,0
5.0555,50,0,1
5.8285999,50,1,0
5.3544002,50,0,0
2.4347,50,1,0
6.2280002,50,0,0
5.2725,50,0,0
5.9001002,50,0,0
5.9717002,50,0,1
5.8761001,50,0,1
5.6199002,50,1,0
4.8670001,50,0,0
5.6015,50,1,0
5.9412999,50,1,0
5.4050999,50,0,0
5.2725,50,1,0
5.4573998,50,0,0
5.5531998,50,1,0
5.7951002,50,0,1
5.9324999,50,0,0
5.5256,50,0,0
5.9562998,50,1,0
6.2463999,50,0,1
5.4008002,50,0,0
6.2533002,50,1,0
6.3571,50,0,1
5.3045001,50,0,0
4.8214002,50,1,0
2.7467,50,1,0
6.1437001,50,1,0
5.0497999,50,1,1
6.1677999,50,0,1
6.092,50,0,1
4.5141001,50,1,0
5.4115,50,0,0
6.0302,50,0,1
5.2409,50,1,0
5.0401001,50,1,0
4.0338001,50,1,0
5.5994,50,1,0
6.1795998,50,0,0
5.3485999,50,0,0
5.2725,50,0,0
5.4232998,50,1,1
3.8076,50,1,1
5.6097999,50,0,0
6.2315001,50,0,0
5.3025999,50,0,1
5.9001002,50,1,0
6.4025998,50,1,0
5.7181001,50,1,0
5.4993,50,1,0
4.8634,50,0,0
5.2431998,50,0,0
6.0581999,50,0,0
5.6554999,50,0,0
6.2533002,50,1,0
5.7719002,50,0,0
5.7217002,50,1,0
5.8227,50,0,0
5.5606999,50,0,1
6.0302,50,1,0
5.7108998,50,0,0
5.7038002,50,0,0
5.1671,50,0,0
2.6616001,50,0,0
5.8793998,50,0,0
5.7108998,50,0,1
5.4232001,50,1,1
5.9245,50,0,0
5.6208,50,0,0
5.3161001,50,0,1
5.9805002,50,0,0
6.4765,50,0,0
5.7863998,50,0,0
4.6051998,50,1,1
5.4770002,50,0,1
5.2073002,50,1,1
5.6687002,50,0,1
5.7596998,50,1,1
5.8965998,50,0,1
6.1245999,50,0,0
5.6668,50,0,0
6.1540999,50,0,0
5.6072001,50,0,0
5.2603002,50,1,1
5.8397002,50,0,1
4.5476999,50,0,1
6.0254002,50,0,1
5.6216998,50,1,1
5.7424998,50,1,1
5.2591,50,0,0
5.7059999,50,0,1
6.2533002,50,0,0
5.7153001,50,1,1
5.9412999,50,0,1
5.7790999,50,0,1
5.5556002,50,0,0
5.7909002,50,1,0
2.3929,50,0,0
5.9580998,50,0,0
5.0423999,50,0,0
5.7832999,50,0,0
4.6258001,50,0,0
5.8023,50,0,0
5.1090999,50,0,0
3.9737999,50,1,1
5.8758001,50,0,0
5.4232001,50,1,0
2.5328,50,0,0
6.0714002,50,1,0
5.0233998,50,0,1
5.539,50,0,0
4.9747,50,0,0
5.7886,50,0,0
4.5112,50,1,0
5.4548001,50,0,0
5.3238001,50,0,0
5.9741001,50,0,0
6.0302,50,1,1
5.3369999,50,0,1
5.1985998,50,1,1
2.0111001,50,0,0
5.8916998,50,0,0
5.2034998,50,0,0
5.4232001,50,0,1
5.3369999,50,0,0
5.7687998,50,1,0
5.4570999,50,0,1
6.4025998,50,1,0
5.2591,50,0,1
5.8099999,50,0,0
5.8793998,50,0,0
5.9580002,50,0,0
5.7516999,50,0,0
5.6890001,50,0,0
5.6238999,50,0,0
5.7486,50,1,1
6.1795998,50,0,1
6.0767002,50,0,0
5.2982998,50,1,0
5.3532,50,0,0
5.5351,50,1,1
5.8469,50,1,0
2.6729,50,0,0
5.8023,50,0,1
5.8130002,50,0,0
4.8757,50,0,0
5.4884,50,0,0
5.7181001,50,1,1
5.7953,50,0,0
5.3369999,50,0,0
5.7909002,50,0,0
6.0609002,50,0,0
6.2776999,50,0,0
5.3024998,50,0,0
4.3885002,50,0,0
5.2470002,50,0,1
5.8649998,50,1,1
5.3323002,50,0,0
3.5945001,50,0,0
4.8478999,50,0,1
5.8469,50,0,1
5.1891999,50,0,0
5.9665999,50,0,0
5.8965998,50,1,0
5.8827,50,0,0
5.4573998,50,1,1
5.6238999,50,0,0
6.0899,50,1,0
5.6686001,50,1,1
5.9656,50,0,0
5.2736001,50,0,0
5.0015001,50,0,0
6.1409998,50,0,0
4.5380001,50,1,0
5.4414001,50,0,1
5.4414001,50,0,0
5.4225998,50,0,1
5.6009002,50,0,0
5.5556002,50,0,0
5.3875999,50,0,0
5.7884998,50,0,0
6.4113002,50,0,1
5.5962,50,0,0
5.7779002,50,0,0
4.9066,50,0,0
5.8903999,50,0,0
5.6128001,50,0,0
4.7454,50,1,0
5.9947,50,1,1
5.3544002,50,0,0
5.7596998,50,0,0
6.2776999,50,0,0
5.7516999,50,0,0
5.8204002,50,1,1
5.7982001,50,0,0
